
Size,Series,Class,Allowance,ExtMajMax,ExtMajMin,ExtPitchMax,ExtPitchMin,ExtUNRMax,IntMinorMin,IntMinorMax,IntPitchMin,IntPitchMax,IntMajorMin
0–80,UNF,2,0.0005,0.0595,0.0563,0.0514,0.0496,0.0446,0.0465,0.0514,0.0519,0.0542,0.0600
0–80,UNF,3,0.0000,0.0600,0.0568,0.0519,0.0506,0.0451,0.0465,0.0514,0.0519,0.0536,0.0600
1–64,UNC,2,0.0006,0.0724,0.0686,0.0623,0.0603,0.0538,0.0561,0.0623,0.0629,0.0655,0.0730
1–64,UNC,3,0.0000,0.0730,0.0692,0.0629,0.0614,0.0544,0.0561,0.0623,0.0629,0.0648,0.0730
1–72,UNF,2,0.0006,0.0724,0.0689,0.0634,0.0615,0.0559,0.0580,0.0635,0.0640,0.0665,0.0730
1–72,UNF,3,0.0000,0.0730,0.0695,0.0640,0.0626,0.0565,0.0580,0.0635,0.0640,0.0659,0.0730
2–56,UNC,2,0.0006,0.0854,0.0813,0.0738,0.0717,0.0642,0.0667,0.0737,0.0744,0.0772,0.0860
2–56,UNC,3,0.0000,0.0860,0.0819,0.0744,0.0728,0.0648,0.0667,0.0737,0.0744,0.0765,0.0860
2–64,UNF,2,0.0006,0.0854,0.0816,0.0753,0.0733,0.0668,0.0691,0.0753,0.0759,0.0786,0.0860
2–64,UNF,3,0.0000,0.0860,0.0822,0.0759,0.0744,0.0674,0.0691,0.0753,0.0759,0.0779,0.0860
3–48,UNC,2,0.0007,0.0983,0.0938,0.0848,0.0825,0.0734,0.0764,0.0845,0.0855,0.0885,0.0990
3–48,UNC,3,0.0000,0.0990,0.0945,0.0855,0.0838,0.0741,0.0764,0.0845,0.0855,0.0877,0.0990
3–56,UNF,2,0.0007,0.0983,0.0942,0.0867,0.0845,0.0771,0.0797,0.0865,0.0874,0.0902,0.0990
3–56,UNF,3,0.0000,0.0990,0.0949,0.0874,0.0858,0.0778,0.0797,0.0865,0.0874,0.0895,0.0990
4–40,UNC,2,0.0008,0.1112,0.1061,0.0950,0.0925,0.0814,0.0849,0.0939,0.0958,0.0991,0.1120
4–40,UNC,3,0.0000,0.1120,0.1069,0.0958,0.0939,0.0822,0.0849,0.0939,0.0958,0.0982,0.1120
