Size,Class,EngagementMin,EngagementMax,ExtMajorMax,ExtMajorMin,ExtPitchMax,ExtPitchMin,ExtRootMin,IntPitchMax,IntPitchMin,IntMinorMax,IntMinorMin
M1,5H/6h,0.6,1.7,1.000,0.933,0.838,0.785,0.031,0.894,0.838,0.785,0.729
M1.2,5H/6h,0.6,1.7,1.200,1.133,1.038,0.985,0.031,1.094,1.038,0.985,0.929
M1.4,5H/6h,0.7,2,1.400,1.325,1.205,1.149,0.038,1.265,1.205,1.142,1.075
M1.6,6H/6g,0.8,2.6,1.581,1.496,1.354,1.291,0.044,1.458,1.373,1.321,1.221
M1.8,6H/6g,0.8,2.6,1.781,1.696,1.554,1.491,0.044,1.658,1.573,1.521,1.421
M2,6H/6g,1,3,1.981,1.886,1.721,1.654,0.050,1.830,1.740,1.679,1.567
M2.5,6H/6g,1.3,3.8,2.480,2.380,2.188,2.117,0.056,2.303,2.208,2.138,2.013
M3,6H/6g,1.5,4.5,2.980,2.874,2.655,2.580,0.063,2.775,2.675,2.599,2.459
M3.5,6H/6g,1.7,5,3.479,3.354,3.089,3.004,0.075,3.222,3.110,3.010,2.850
M4,6H/6g,2,6,3.978,3.838,3.523,3.433,0.088,3.663,3.545,3.422,3.242
M5,6H/6g,2.5,7.5,4.976,4.826,4.456,4.361,0.100,4.605,4.480,4.334,4.134
M6,6H/6g,3,9,5.974,5.794,5.324,5.212,0.125,5.500,5.350,5.153,4.917
M7,6H/6g,3,9,6.974,6.794,6.324,6.212,0.125,6.500,6.350,6.153,5.917
M8,6H/6g,4,12,7.972,7.760,7.160,7.042,0.156,7.348,7.188,6.912,6.647
M10,6H/6g,5,15,9.968,9.732,8.994,8.862,0.188,9.206,9.026,8.676,8.376
M12,6H/6g,6,18,11.966,11.701,10.829,10.679,0.219,11.063,10.863,10.441,10.106
M14,6H/6g,8,24,13.962,13.682,12.663,12.503,0.250,12.913,12.701,12.210,11.835
M16,6H/6g,8,24,15.962,15.682,14.663,14.503,0.250,14.913,14.701,14.210,13.835
M18,6H/6g,10,30,17.958,17.623,16.334,16.164,0.313,16.600,16.376,15.744,15.294
M20,6H/6g,10,30,19.958,19.623,18.334,18.164,0.313,18.600,18.376,17.744,17.294
M22,6H/6g,10,30,21.958,21.623,20.334,20.164,0.313,20.600,20.376,19.744,19.294
M24,6H/6g,12,36,23.952,23.577,22.003,21.803,0.375,22.316,22.051,21.252,20.752
M27,6H/6g,12,36,26.952,26.577,25.003,24.803,0.375,25.316,25.051,24.252,23.752
M30,6H/6g,15,45,29.947,29.522,27.674,27.462,0.438,28.007,27.727,26.771,26.211
M33,6H/6g,15,45,32.947,32.522,30.674,30.462,0.438,31.007,30.727,29.771,29.211
M36,6H/6g,18,53,35.940,35.465,33.342,33.118,0.500,33.702,33.402,32.270,31.670
M39,6H/6g,18,53,38.940,38.465,36.342,36.118,0.500,36.702,36.402,35.270,34.670
M42,6H/6g,21,63,41.937,41.437,39.014,38.778,0.563,39.392,39.077,37.799,37.129
