Size,Class,Allowance,MajorDiaMax,MajorDiaMin,PitchDiaMax,PitchDiaMin,PitchDiaTolerance,MinorDiaMax,MinorDiaMin
M1.6x0.35,6g,0.019,1.581,1.496,1.354,1.291,0.063,1.202,1.075 
M1.6x0.35,6h,0.000,1.600,1.515,1.373,1.310,0.063,1.221,1.094 
M1.6x0.35,4g6g,0.019,1.581,1.496,1.354,1.314,0.040,1.202,1.098 
M2x0.4,6g,0.019,1.981,1.886,1.721,1.654,0.067,1.548,1.408 
M2x0.4,6h,0.000,2.000,1.905,1.740,1.673,0.067,1.567,1.427 
M2x0.4,4g6g,0.019,1.981,1.886,1.721,1.679,0.042,1.548,1.433 
M2.5x0.45,6g,0.020,2.480,2.380,2.188,2.117,0.071,1.993,1.840 
M2.5x0.45,6h,0.000,2.500,2.400,2.208,2.137,0.071,2.013,1.860 
M2.5x0.45,4g6g,0.020,2.480,2.380,2.188,2.143,0.045,1.993,1.866 
M3x0.5,6g,0.020,2.980,2.874,2.655,2.580,0.075,2.438,2.272 
M3x0.5,6h,0.000,3.000,2.894,2.675,2.600,0.075,2.458,2.292 
M3x0.5,4g6g,0.020,2.980,2.874,2.655,2.607,0.048,2.438,2.299 
M3.5x0.6,6g,0.021,3.479,3.354,3.089,3.004,0.085,2.829,2.634 
M3.5x0.6,6h,0.000,3.500,3.375,3.110,3.025,0.085,2.850,2.655 
M3.5x0.6,4g6g,0.021,3.479,3.354,3.089,3.036,0.053,2.829,2.666 
M4x0.7,6g,0.022,3.978,3.838,3.523,3.433,0.090,3.220,3.002 
M4x0.7,6h,0.000,4.000,3.860,3.545,3.455,0.090,3.242,3.024 
M4x0.7,4g6g,0.022,3.978,3.838,3.523,3.467,0.056,3.220,3.036 
M5x0.8,6g,0.024,4.976,4.826,4.456,4.361,0.095,4.110,3.868 
M5x0.8,6h,0.000,5.000,4.850,4.480,4.385,0.095,4.134,3.892 
M5x0.8,4g6g,0.024,4.976,4.826,4.456,4.396,0.060,4.110,3.903 
M6x1,6g,0.026,5.974,5.794,5.324,5.212,0.112,4.891,4.596 
M6x1,6h,0.000,6.000,5.820,5.350,5.238,0.112,4.917,4.622 
M6x1,4g6g,0.026,5.974,5.794,5.324,5.253,0.071,4.891,4.637 
M8x1.25,6g,0.028,7.972,7.760,7.160,7.042,0.118,6.619,6.272 
M8x1.25,6h,0.000,8.000,7.788,7.188,7.070,0.118,6.647,6.300 
M8x1.25,4g6g,0.028,7.972,7.760,7.160,7.085,0.075,6.619,6.315 
M8x1,6g,0.026,7.974,7.794,7.324,7.212,0.112,6.891,6.596 
M8x1,6h,0.000,8.000,7.820,7.350,7.238,0.112,6.917,6.622 
M8x1,4g6g,0.026,7.974,7.794,7.324,7.253,0.071,6.891,6.637 
M10x1.5,6g,0.032,9.968,9.732,8.994,8.862,0.132,8.344,7.938 
M10x1.5,6h,0.000,10.000,9.764,9.026,8.894,0.132,8.376,7.970 
M10x1.5,4g6g,0.032,9.968,9.732,8.994,8.909,0.085,8.344,7.985 
M10x1.25,6g,0.028,9.972,9.760,9.160,9.042,0.118,8.619,8.272 
M10x1.25,6h,0.000,10.000,9.788,9.188,9.070,0.118,8.647,8.300 
M10x1.25,4g6g,0.028,9.972,9.760,9.160,9.085,0.075,8.619,8.315 
M10x1,6g,0.026,9.974,9.794,9.324,9.212,0.112,8.891,8.596 
M10x1,6h,0.000,10.000,9.820,9.350,9.238,0.112,8.917,8.622 
M10x1,4g6g,0.026,9.974,9.794,9.324,9.253,0.071,8.891,8.637 
M10x0.75,6g,0.022,9.978,9.838,9.491,9.391,0.100,9.166,8.929 
M10x0.75,6h,0.000,10.000,9.860,9.513,9.413,0.100,9.188,8.951 
M10x0.75,4g6g,0.022,9.978,9.838,9.491,9.428,0.063,9.166,8.966 
M12x1.75,6g,0.034,11.966,11.701,10.829,10.679,0.150,10.071,9.601 
M12x1.75,6h,0.000,12.000,11.735,10.863,10.713,0.150,10.105,9.635 
M12x1.75,4g6g,0.034,11.966,11.701,10.829,10.734,0.095,10.071,9.656 
M12x1.5,6g,0.032,11.968,11.732,10.994,10.854,0.140,10.344,9.930 
M12x1.5,6h,0.000,12.000,11.764,11.026,10.886,0.140,10.376,9.962 
M12x1.5,4g6g,0.032,11.968,11.732,10.994,10.904,0.090,10.344,9.980 
M12x1.25,6g,0.028,11.972,11.760,11.160,11.028,0.132,10.619,10.258 
M12x1.25,6h,0.000,12.000,11.788,11.188,11.056,0.132,10.647,10.286 
M12x1.25,4g6g,0.028,11.972,11.760,11.160,11.075,0.085,10.619,10.305 
M12x1,6g,0.026,11.974,11.794,11.324,11.206,0.118,10.891,10.590 
M12x1,6h,0.000,12.000,11.820,11.350,11.232,0.118,10.917,10.616 
M12x1,4g6g,0.026,11.974,11.794,11.324,11.249,0.075,10.891,10.633 
M14x2,6g,0.038,13.962,13.682,12.663,12.503,0.160,11.797,11.271 
M14x2,6h,0.000,14.000,13.720,12.701,12.541,0.160,11.835,11.309 
M14x2,4g6g,0.038,13.962,13.682,12.663,12.563,0.100,11.797,11.331 
M14x1.5,6g,0.032,13.968,13.732,12.994,12.854,0.140,12.344,11.930 
M14x1.5,6h,0.000,14.000,13.764,13.026,12.886,0.140,12.376,11.962 
M14x1.5,4g6g,0.032,13.968,13.732,12.994,12.904,0.090,12.344,11.980 
M15x1,6g,0.026,14.974,14.794,14.324,14.206,0.118,13.891,13.590 
M15x1,6h,0.000,15.000,14.820,14.350,14.232,0.118,13.917,13.616 
M15x1,4g6g,0.026,14.974,14.794,14.324,14.249,0.075,13.891,13.633
M16x2,6g,0.038,15.962,15.682,14.663,14.503,0.160,13.797,13.271 
M16x2,6h,0.000,16.000,15.720,14.701,14.541,0.160,13.835,13.309 
M16x2,4g6g,0.038,15.962,15.682,14.663,14.563,0.100,13.797,13.331 
M16x1.5,6g,0.032,15.968,15.732,14.994,14.854,0.140,14.344,13.930 
M16x1.5,6h,0.000,16.000,15.764,15.026,14.886,0.140,14.376,13.962 
M16x1.5,4g6g,0.032,15.968,15.732,14.994,14.904,0.090,14.344,13.980 
M17x1,6g,0.026,16.974,16.794,16.324,16.206,0.118,15.891,15.590 
M17x1,6h,0.000,17.000,16.820,16.350,16.232,0.118,15.917,15.616 
M17x1,4g6g,0.026,16.974,16.794,16.324,16.249,0.075,15.891,15.633 
M18x1.5,6g,0.032,17.968,17.732,16.994,16.854,0.140,16.344,15.930 
M18x1.5,6h,0.000,18.000,17.764,17.026,16.886,0.140,16.376,15.962 
M18x1.5,4g6g,0.032,17.968,17.732,16.994,16.904,0.090,16.344,15.980 
M20x2.5,6g,0.042,19.958,19.623,18.334,18.164,0.170,17.251,16.624 
M20x2.5,6h,0.000,20.000,19.665,18.376,18.206,0.170,17.293,16.666 
M20x2.5,4g6g,0.042,19.958,19.623,18.334,18.228,0.106,17.251,16.688 
M20x1.5,6g,0.032,19.968,19.732,18.994,18.854,0.140,18.344,17.930 
M20x1.5,6h,0.000,20.000,19.764,19.026,18.886,0.140,18.376,17.962 
M20x1.5,4g6g,0.032,19.968,19.732,18.994,18.904,0.090,18.344,17.980 
M20x1,6g,0.026,19.974,19.794,19.324,19.206,0.118,18.891,18.590 
M20x1,6h,0.000,20.000,19.820,19.350,19.232,0.118,18.917,18.616 
M20x1,4g6g,0.026,19.974,19.794,19.324,19.249,0.075,18.891,18.633 
M22x2.5,6g,0.042,21.958,21.623,20.334,20.164,0.170,19.251,18.624 
M22x2.5,6h,0.000,22.000,21.665,20.376,20.206,0.170,19.293,18.666 
M22x1.5,6g,0.032,21.968,21.732,20.994,20.854,0.140,20.344,19.930 
M22x1.5,6h,0.000,22.000,21.764,21.026,20.886,0.140,20.376,19.962 
M22x1.5,4g6g,0.032,21.968,21.732,20.994,20.904,0.090,20.344,19.980 
M24x3,6g,0.048,23.952,23.577,22.003,21.803,0.200,20.704,19.955 
M24x3,6h,0.000,24.000,23.625,22.051,21.851,0.200,20.752,20.003 
M24x3,4g6g,0.048,23.952,23.577,22.003,21.878,0.125,20.704,20.030 
M24x2,6g,0.038,23.962,23.682,22.663,22.493,0.170,21.797,21.261 
M24x2,6h,0.000,24.000,23.720,22.701,22.531,0.170,21.835,21.299 
M24x2,4g6g,0.038,23.962,23.682,22.663,22.557,0.106,21.797,21.325 
M25x1.5,6g,0.032,24.968,24.732,23.994,23.844,0.150,23.344,22.920 
M25x1.5,6h,0.000,25.000,24.764,24.026,23.876,0.150,23.376,22.952 
M25x1.5,4g6g,0.032,24.968,24.732,23.994,23.899,0.095,23.344,22.975 
M27x3,6g,0.048,26.952,26.577,25.003,24.803,0.200,23.704,22.955 
M27x3,6h,0.000,27.000,26.625,25.051,24.851,0.200,23.752,23.003 
M27x2,6g,0.038,26.962,26.682,25.663,25.493,0.170,24.797,24.261 
M27x2,6h,0.000,27.000,26.720,25.701,25.531,0.170,24.835,24.299 
M27x2,4g6g,0.038,26.962,26.682,25.663,25.557,0.106,24.797,24.325 
M30x3.5,6g,0.053,29.947,29.522,27.674,27.462,0.212,26.158,25.306 
M30x3.5,6h,0.000,30.000,29.575,27.727,27.515,0.212,26.211,25.359 
M30x3.5,4g6g,0.053,29.947,29.522,27.674,27.542,0.132,26.158,25.386 
M30x2,6g,0.038,29.962,29.682,28.663,28.493,0.170,27.797,27.261 
M30x2,6h,0.000,30.000,29.720,28.701,28.531,0.170,27.835,27.299 
M30x2,4g6g,0.038,29.962,29.682,28.663,28.557,0.106,27.797,27.325 
M30x1.5,6g,0.032,29.968,29.732,28.994,28.844,0.150,28.344,27.920 
M30x1.5,6h,0.000,30.000,29.764,29.026,28.876,0.150,28.376,27.952 
M30x1.5,4g6g,0.032,29.968,29.732,28.994,28.899,0.095,28.344,27.975 
M33x2,6g,0.038,32.962,32.682,31.663,31.493,0.170,30.797,30.261 
M33x2,6h,0.000,33.000,32.720,31.701,31.531,0.170,30.835,30.299 
